acombat.zip,Astro Combat (newer, CB),bootleg
acombat3.zip,Astro Combat (unencrypted),bootleg (Proel)
acombato.zip,Astro Combat (older, PZ),bootleg
acommand.zip,Alien Command,Jaleco
acpsx.zip,Acclaim PSX,Acclaim
acrobatm.zip,Acrobat Mission,UPL (Taito license)
act2000.zip,Action 2000 (Version 3.5E Dual),Amcoe
act2000b1.zip,Action 2000 (Version 3.5R, set 2),Amcoe
act2000bx.zip,Action 2000 (Version 3.30XT, set 2),Amcoe
act2000d1.zip,Action 2000 (Version 3.5R, set 1),Amcoe
act2000dx.zip,Action 2000 (Version 3.30XT, set 1),Amcoe
act2000o.zip,Action 2000 (Version 3.3),Amcoe
act2000o2.zip,Action 2000 (Version 3.10XT),Amcoe
act2000o3.zip,Action 2000 (Version 1.2),Amcoe
act2000v1.zip,Action 2000 (Version 3.5R Dual),Amcoe
act2000vx.zip,Action 2000 (Version 3.30XT Dual),Amcoe
actfancr.zip,Act-Fancer Cybernetick Hyper Weapon (World revision 2),Data East Corporation
actfancr1.zip,Act-Fancer Cybernetick Hyper Weapon (World revision 1),Data East Corporation
actionhw.zip,Action Hollywood,TCH
ad1848.zip,Analog Devices AD1848,TCH
ad2083.zip,A. D. 2083,Midcoin
adillor.zip,Armadillo Racing (Rev. AM1 Ver.A),Namco
adonis.zip,Adonis (0200751V, NSW/ACT),Aristocrat
adonis6.zip,Adonis (0151178, US),Aristocrat
adonisa.zip,Adonis (0100751V, NSW/ACT),Aristocrat
adonise.zip,Adonis (MV4124/1, Export),Aristocrat
adonishl.zip,Adonis Hyperlink,Aristocrat
adsp2100.zip,ADSP-2100,Aristocrat
adsp2101.zip,ADSP-2101,Aristocrat
adsp2104.zip,ADSP-2104,Aristocrat
adsp2105.zip,ADSP-2105,Aristocrat
adsp21062.zip,ADSP21062,Aristocrat
adsp2115.zip,ADSP-2115,Aristocrat
adsp2181.zip,ADSP-2181,Aristocrat
aeroboto.zip,Aeroboto,Jaleco (Williams license)
aerofgts.zip,Aero Fighters Special (Taiwan),Video System Co.
afighter.zip,Action Fighter (FD1089A 317-0018),Sega
afire.zip,Astro Fire,bootleg (Rene Pierre)
afm_10.zip,Attack From Mars (1.0),Bally
afm_11.zip,Attack From Mars (1.1),Bally
afm_113.zip,Attack From Mars (1.13, Free play),Bally
afm_113b.zip,Attack From Mars (1.13b),Bally
afm_11u.zip,Attack From Mars (1.1 Ultrapin),Bally
aftor.zip,Af-Tor,Wico
aftrhrs.zip,After Hours (0251071, US),Aristocrat
aftrshok.zip,After Shock (Lazer-tron, set 1),Lazer-tron
aftrshoka.zip,After Shock (Lazer-tron, set 2),Lazer-tron
agallet.zip,Air Gallet (Europe),Gazelle (Banpresto license)
agalleth.zip,Air Gallet (Hong Kong),Gazelle (Banpresto license)
agallett.zip,Air Gallet (Taiwan),Gazelle (Banpresto license)
agalletu.zip,Air Gallet (USA),Gazelle (Banpresto license)
age_cand.zip,Candy Crane (AGE),Advanced Game Engineering
agent777.zip,Agents 777,Game Plan
agentx1.zip,Agent X (prototype, rev 1),Atari
agentx2.zip,Agent X (prototype, rev 2),Atari
agentx3.zip,Agent X (prototype, rev 3),Atari
agentx4.zip,Agent X (prototype, rev 4),Atari
agsoccer.zip,A.G. Soccer Ball,Alvin G
aica.zip,AICA,Alvin G
aicartc.zip,AICA RTC,Alvin G
ainferno.zip,Air Inferno (US),Taito America Corporation
airass.zip,Air Assault (World),Irem
airattck.zip,Air Attack (set 1),Comad
airattcka.zip,Air Attack (set 2),Comad
airbustr.zip,Air Buster: Trouble Specialty Raid Unit (World),Kaneko (Namco license)
aircomb.zip,Air Combat (US),Namco
airduel.zip,Air Duel (World, M82-A-A + M82-B-A),Irem
airlbios.zip,Naomi Airline Pilots (deluxe) Bios,Sega
airrace.zip,Air Race (prototype),Atari Games
airraid.zip,Air Raid (Single PCB),Seibu Kaihatsu
airtrix.zip,Air Trix,Sega
airwolf.zip,Airwolf,Kyugo
airwolfa.zip,Airwolf (US),Kyugo (United Amusements license)
ajax.zip,Ajax,Konami
akamaru.zip,Panel & Variety Akamaru Q Jousyou Dont-R,Dynax (Nakanihon license)
akiko.zip,CBM AKIKO,Dynax (Nakanihon license)
aking.zip,Angler King (AG1 Ver. A),Namco
akiss.zip,Mahjong Angel Kiss,Jaleco
akkanvdr.zip,Akkanbeder (Ver 2.5J 1995/06/14),Taito Corporation
albatross.zip,Albatross (US Prototype?),Nasco
alcapone.zip,Al Capone,LTD
alcat_l7.zip,Alley Cats (Shuffle) (L-7),Williams
alchemya.zip,Alchemy (1J009611, NSW/ACT),Aristocrat
alcon.zip,Alcon (US),Toaplan / Taito America Corp.
aleck64.zip,Aleck64 PIF BIOS,Nintendo / Seta
alexkidd.zip,Alex Kidd: The Lost Stars (set 2, unprotected),Sega
alexkidd1.zip,Alex Kidd: The Lost Stars (set 1, FD1089A 317-0021),Sega
alg_bios.zip,American Laser Games BIOS,American Laser Games
algar_l1.zip,Algar (L-1),Williams
ali.zip,Ali,Stern
alibaba.zip,Ali Baba and 40 Thieves,Sega
alien.zip,Alien: The Arcade Medal Edition,Capcom
alien3.zip,Alien3: The Gun (World),Sega
alien3u.zip,Alien3: The Gun (US),Sega
alienar.zip,Alien Arena,Duncan Brown
alienaru.zip,Alien Arena (Stargate upgrade),Duncan Brown
aliencha.zip,Alien Challenge (World),IGS
alienchac.zip,Alien Challenge (China),IGS
aliencr.zip,Alien Crush,Hudson Soft
alienfnt.zip,Alien Front (Rev T),Sega
alienfnta.zip,Alien Front (Rev A),Sega
alieninv.zip,Alien Invasion,bootleg (Margamatics)
alieninvp2.zip,Alien Invasion Part II,bootleg
aliens.zip,Aliens (World set 1),Konami
aliens2.zip,Aliens (World set 2),Konami
aliens3.zip,Aliens (World set 3),Konami
aliensa.zip,Aliens (Asia),Konami
aliensec.zip,Alien Sector,Namco
alienstr.zip,Alien Star,Gottlieb
aliensu.zip,Aliens (US),Konami
aliensyn.zip,Alien Syndrome (set 4, System 16B, unprotected),Sega
aliensyn2.zip,Alien Syndrome (set 2, System 16A, FD1089A 317-0033),Sega
aliensyn3.zip,Alien Syndrome (set 3, System 16B, FD1089A 317-0033),Sega
aliensyn5.zip,Alien Syndrome (set 5, System 16A, FD1089B 317-0037),Sega
aliensyn7.zip,Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx),Sega
aligator.zip,Alligator Hunt,Gaelco
aligatorun.zip,Alligator Hunt (unprotected),Gaelco
alinvade.zip,Alien Invaders,Forbes?
alleymas.zip,Alley Master,Cinematronics
allied.zip,Allied System,Allied Leisure
alpha1v.zip,Alpha One (Vision Electronics),Vision Electronics
alpha8201.zip,ALPHA-8201,Vision Electronics
alpha8301l.zip,ALPHA-8301L,Vision Electronics
alphaho.zip,Alpha Fighter / Head On,Data East Corporation
alpham2.zip,Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007),SNK
alpham2p.zip,Alpha Mission II / ASO II - Last Guardian (prototype),SNK
alphamis.zip,Alpha Mission,SNK
alphaone.zip,Alpha One (prototype, 3 lives),Atari
alphaonea.zip,Alpha One (prototype, 5 lives),Atari
alpilota.zip,Airline Pilots (Rev A),Sega
alpiltdx.zip,Airline Pilots (deluxe) (Rev B),Sega
alpine.zip,Alpine Ski (set 1),Taito Corporation
alpinea.zip,Alpine Ski (set 2),Taito Corporation
alpinerc.zip,Alpine Racer (Rev. AR2 Ver.C),Namco
alpinerd.zip,Alpine Racer (Rev. AR2 Ver.D),Namco
alpinesa.zip,Alpine Surfer (Rev. AF2 Ver.A),Namco
alpinr2a.zip,Alpine Racer 2 (Rev. ARS2 Ver.A),Namco
alpinr2b.zip,Alpine Racer 2 (Rev. ARS2 Ver.B),Namco
altair.zip,Altair,Cidelsa
altaten.zip,Alta Tensione (ver. 2.01a),<unknown>
altbeast.zip,Altered Beast (set 8) (8751 317-0078),Sega
altbeast2.zip,Altered Beast (set 2) (MC-8123B 317-0066),Sega
altbeast4.zip,Altered Beast (set 4) (MC-8123B 317-0066),Sega
altbeast5.zip,Altered Beast (set 5) (FD1094 317-0069),Sega
altbeast6.zip,Altered Beast (set 6) (8751 317-0076),Sega
am29000.zip,AMD Am29000,bootleg
am53cf96.zip,53CF96 SCSI,bootleg
am9517a.zip,AM9517A,bootleg
am_mg24.zip,Multi Game I (V.Ger 2.4),Amatic Trading GmbH
am_mg3.zip,Multi Game III (V.Ger 3.5),Amatic Trading GmbH
am_mg31i.zip,Multi Game III (S.Ita 3.1),Amatic Trading GmbH
am_mg33i.zip,Multi Game III (S.Ita 3.3),Amatic Trading GmbH
am_mg34i.zip,Multi Game III (S.Ita 3.4),Amatic Trading GmbH
am_mg35i.zip,Multi Game III (S.Ita 3.5),Amatic Trading GmbH
am_mg3a.zip,Multi Game III (V.Ger 3.64),Amatic Trading GmbH
amatelas.zip,Sei Senshi Amatelass,Nichibutsu
amazon.zip,Soldier Girl Amazon,Nichibutsu
amazonh.zip,Amazon Hunt,Gottlieb
amazoni2.zip,Amazonia King II (V202BR),IGS
amazonia.zip,Amazonia King (V104BR),IGS
ambush.zip,Ambush,Tecfri
ambushv.zip,Ambush (Volt Electronics),Tecfri (Volt Electronics license)
amclink.zip,Amcoe Link Control Box (Version 2.2),Amcoe
amd_29lv200t.zip,AMD 29LV200T Flash,Amcoe
amerdart.zip,AmeriDarts (set 1),Ameri
amerdart2.zip,AmeriDarts (set 2),Ameri
amerdart3.zip,AmeriDarts (set 3),Ameri
america.zip,America 1492,Juegos Populares
americna.zip,Americana (9131-01),Merit
americnaa.zip,Americana (9131-00),Merit
amerihok.zip,Ameri-Hockey,<unknown>
amidar.zip,Amidar,Konami
amidar1.zip,Amidar (older),Konami
amidaro.zip,Amidar (Olympia),Konami (Olympia license)
amidars.zip,Amidar (Scramble hardware),Konami
amidaru.zip,Amidar (Stern Electronics),Konami (Stern Electronics license)
amiga_fdc.zip,Amiga FDC,Konami (Stern Electronics license)
amiga_paula.zip,Amiga Paula,Konami (Stern Electronics license)
amigo.zip,Amigo,bootleg
